86	81	17	3.97026	1.00123	0.372444	-0.232716	124.205	6.83748	-1.02784	102.27	0.79747	109.662	
89	81	32	4.80701	1.07754	0.684204	0.945732	133.505	5.04365	-0.185953	113.224	-1.2277	98.1167	
90	81	25	5.45706	0.944787	0.775526	1.43893	131.951	-9.92565	0.0807952	107.2	-0.955979	93.8006	
99	75	11	6.76626	1.44368	0.780904	0.659371	106.686	41.3851	-1.03162	80.0022	-0.366568	78.6923	
88	88	10	8.92856	0.788385	-0.983652	-0.385734	123.623	-19.3798	-0.105817	98.0777	-0.884286	71.6695	
99	102	10	6.07802	2.20587	1.51705	-0.578325	107.79	5.10991	-1.19978	38.6529	-0.100871	107.158	
103	68	25	5.81256	1.42852	1.31682	1.0811	79.4084	26.0059	-0.8165	91.3341	-0.372136	87.3953	
97	113	3	5.34075	1.06772	0.61957	-0.371959	141.35	2.91296	-1.54711	37.2755	-0.0777675	78.4087	
98	84	4	6.32286	1.11797	0.801479	0.807106	109.094	40.6686	-1.07756	93.3237	-0.534553	43.9502	
80	86	35	4.83924	0.714258	0.250629	0.52215	291.047	-6.64528	-2.77319	40.0994	0.424714	90.3312	
27	77	29	3.20231	1.53321	0.00355135	0.0859472	130.183	-13.9664	0.120257	197.341	-0.682594	22.1084	
26	81	14	3.0956	21.9187	-0.907098	0.164859	63.5723	-7.43799	-0.465713	78.4394	0.190483	83.3725	
26	81	14	4.06396	17.9513	-0.903211	0.169033	74.1531	-5.75136	0.104854	85.9496	-0.424292	56.4381	
35	84	15	1.69621	1.11483	-0.337965	0.169307	22.2976	5.64205	-0.259224	103.908	-0.620161	23.7039	
103	68	32	6.60155	1.42026	2.65954	0.853261	87.7444	29.5073	-0.936888	71.2217	-0.486943	88.4548	
25	95	2	5.96359	8.54008	-1.07446	0.298952	114.267	-0.323237	1.11796	82.5361	-0.607878	1.3568	
70	85	24	8.00957	1.45634	0.0498885	0.514879	339.886	21.6243	0.36169	25.1227	-0.190974	25.6508	
90	73	31	4.53297	2.06323	-0.16927	0.843462	218.274	4.96567	-2.07938	31.5629	-0.0407495	81.3525	
43	75	15	2.37918	3.30954	-0.487469	0.0887081	154.381	59.0987	-0.163175	51.2786	-0.201969	72.6736	
